iteration,win_rate,new_wins,old_wins,draws,avg_value
386,50.00,20,20,0,-0.3860
387,50.00,20,20,0,-0.3878
388,50.00,20,20,0,-0.3800
389,50.00,20,20,0,-0.4039
390,50.00,20,20,0,-0.4126
391,50.00,20,20,0,-0.3830
392,50.00,20,20,0,-0.3777
393,50.00,20,20,0,-0.3685
394,50.00,20,20,0,-0.3767
395,50.00,20,20,0,-0.4391
396,50.00,20,20,0,-0.3937
397,50.00,20,20,0,-0.3975
398,50.00,20,20,0,-0.4168
399,50.00,20,20,0,-0.4001
400,50.00,20,20,0,-0.4279
401,50.00,20,20,0,-0.3748
402,50.00,20,20,0,-0.3943
403,50.00,20,20,0,-0.3913
404,50.00,20,20,0,-0.4381
405,50.00,20,20,0,-0.4059
406,50.00,20,20,0,-0.4074
407,50.00,20,20,0,-0.3877
408,50.00,20,20,0,-0.3787
409,50.00,20,20,0,-0.3880
410,50.00,20,20,0,-0.3696
411,50.00,20,20,0,-0.4090
412,50.00,20,20,0,-0.4297
413,50.00,20,20,0,-0.3653
414,50.00,20,20,0,-0.4126
415,50.00,20,20,0,-0.3815
416,50.00,20,20,0,-0.4166
417,50.00,20,20,0,-0.3792
418,50.00,20,20,0,-0.4017
419,50.00,20,20,0,-0.4034
420,50.00,20,20,0,-0.4089
421,50.00,20,20,0,-0.4147
422,50.00,20,20,0,-0.3774
423,50.00,20,20,0,-0.4274
424,50.00,20,20,0,-0.3967
425,50.00,20,20,0,-0.4090
426,50.00,20,20,0,-0.3880
427,50.00,20,20,0,-0.3732
428,50.00,20,20,0,-0.4145
429,50.00,20,20,0,-0.4031
430,50.00,20,20,0,-0.4121
431,50.00,20,20,0,-0.4014
432,50.00,20,20,0,-0.3726
433,50.00,20,20,0,-0.3796
434,50.00,20,20,0,-0.4043
435,50.00,20,20,0,-0.3718
436,50.00,20,20,0,-0.3965
437,50.00,20,20,0,-0.4158
438,50.00,20,20,0,-0.3980
439,50.00,20,20,0,-0.4095
440,50.00,20,20,0,-0.3842
441,50.00,20,20,0,-0.4135
442,50.00,20,20,0,-0.4104
443,50.00,20,20,0,-0.4214
444,50.00,20,20,0,-0.3866
445,50.00,20,20,0,-0.4092
446,50.00,20,20,0,-0.4133
447,50.00,20,20,0,-0.4068
448,50.00,20,20,0,-0.3976
449,50.00,20,20,0,-0.4123
450,50.00,20,20,0,-0.3759
451,50.00,20,20,0,-0.3774
452,50.00,20,20,0,-0.4152
453,50.00,20,20,0,-0.4114
454,50.00,20,20,0,-0.3945
455,50.00,20,20,0,-0.4104
456,50.00,20,20,0,-0.3941
457,50.00,20,20,0,-0.4012
458,50.00,20,20,0,-0.4152
459,50.00,20,20,0,-0.4028
460,50.00,20,20,0,-0.3919
1,50.00,20,20,0,0.7247
1,50.00,20,20,0,0.6876
1,50.00,20,20,0,-0.5159
1,50.00,20,20,0,0.2198
1,50.00,20,20,0,0.8566
1,50.00,20,20,0,0.1092
1,50.00,20,20,0,0.7425
1,50.00,20,20,0,0.1817
1,50.00,20,20,0,-0.3836
1,50.00,20,20,0,-0.4628
1,50.00,20,20,0,0.2962
1,50.00,20,20,0,0.6485
1,50.00,20,20,0,-0.9861
1,50.00,20,20,0,0.8897
1,50.00,20,20,0,0.8353
1,50.00,20,20,0,0.2283
1,50.00,20,20,0,-0.7534
1,50.00,50,50,0,-0.3368
2,50.00,50,50,0,-0.3352
3,50.00,50,50,0,-0.3372
4,50.00,50,50,0,-0.3417
5,50.00,50,50,0,-0.3346
1,50.00,50,50,0,0.6456
2,50.00,50,50,0,0.6392
3,50.00,50,50,0,0.6387
4,50.00,50,50,0,0.6308
5,50.00,50,50,0,0.6425
1,50.00,100,100,0,0.8264
2,50.00,100,100,0,-0.9606
3,50.00,100,100,0,-0.9983
4,50.00,100,100,0,-0.9999
5,50.00,100,100,0,-1.0000
1,50.00,100,100,0,0.0393
2,50.00,100,100,0,-0.9880
3,50.00,100,100,0,-0.9999
4,50.00,100,100,0,-1.0000
1,50.00,100,100,0,0.4951
2,50.00,100,100,0,-0.8921
3,50.00,100,100,0,-0.9528
4,50.00,100,100,0,-0.9589
1,50.00,100,100,0,-0.3996
1,50.00,100,100,0,-0.8374
2,50.00,100,100,0,-0.9758
3,50.00,100,100,0,-0.9182
4,50.00,100,100,0,-0.9383
5,50.00,100,100,0,-0.8433
